,X,Y,t_datetime_x,t_days,u,p_acum_30d,p_acum_60d,p_acum_90d
1456,4708115.960036487,2253304.712696268,2022-06-23,120.0,-0.015655322,229.7443072795868,461.2863737344742,703.6787205934525
1457,4708155.9834763855,2253304.5595901767,2022-06-23,120.0,-0.012974238,229.7443072795868,461.2863737344742,703.6787205934525
1458,4708196.006907505,2253304.406484164,2022-06-23,120.0,-0.01387537,229.7443072795868,461.2863737344742,703.6787205934525
1459,4708236.030329849,2253304.253378229,2022-06-23,120.0,-0.011233016,229.7443072795868,461.2863737344742,703.6787205934525
1460,4708075.78348599,2253264.8423493365,2022-06-23,120.0,-0.017421845,229.7443072795868,461.2863737344742,703.6787205934525
1461,4708115.806934746,2253264.689251944,2022-06-23,120.0,-0.016543467,229.7443072795868,461.2863737344742,703.6787205934525
1462,4708155.830374721,2253264.5361546297,2022-06-23,120.0,-0.012706273,229.7443072795868,461.2863737344742,703.6787205934525
1463,4708195.85380592,2253264.383057394,2022-06-23,120.0,-0.015687488,229.7443072795868,461.2863737344742,703.6787205934525
1464,4708235.877228342,2253264.2299602376,2022-06-23,120.0,-0.012927011,229.7443072795868,461.2863737344742,703.6787205934525
1465,4708075.630392949,2253224.8188961567,2022-06-23,120.0,-0.015383281,229.7443072795868,461.2863737344742,703.6787205934525
1466,4708115.6538417805,2253224.665807541,2022-06-23,120.0,-0.015628265,229.7443072795868,461.2863737344742,703.6787205934525
1467,4708155.677281836,2253224.5127190044,2022-06-23,120.0,-0.017706348,229.7443072795868,461.2863737344742,703.6787205934525
1468,4708195.700713112,2253224.3596305465,2022-06-23,120.0,-0.009105963,229.7443072795868,461.2863737344742,703.6787205934525
1469,4708235.724135613,2253224.206542167,2022-06-23,120.0,-0.013633664,229.7443072795868,461.2863737344742,703.6787205934525
1470,4708155.524197727,2253184.4892833005,2022-06-23,120.0,-0.014284074,229.7443072795868,461.2863737344742,703.6787205934525
1471,4708195.547629083,2253184.33620362,2022-06-23,120.0,-0.012087598,229.7443072795868,461.2863737344742,703.6787205934525
1472,4708235.571051661,2253184.183124017,2022-06-23,120.0,-0.009916947,229.7443072795868,461.2863737344742,703.6787205934525
1473,4708195.394553831,2253144.3127766144,2022-06-23,120.0,-0.014686086,229.7443072795868,461.2863737344742,703.6787205934525
1474,4708318.221488716,2253864.274764464,2022-07-05,132.0,-0.008029524,195.28997588157654,493.422648191452,633.2352777719498
1475,4708358.244883627,2253864.121535882,2022-07-05,132.0,-0.010357083,195.28997588157654,493.422648191452,633.2352777719498
1476,4708398.268269759,2253863.9683073787,2022-07-05,132.0,-0.008934041,195.28997588157654,493.422648191452,633.2352777719498
1477,4708438.291647114,2253863.8150789537,2022-07-05,132.0,-0.00924049,195.28997588157654,493.422648191452,633.2352777719498
1478,4708318.068264484,2253824.2513651275,2022-07-05,132.0,-0.009951363,195.28997588157654,493.422648191452,633.2352777719498
1479,4708358.091659473,2253824.098145323,2022-07-05,132.0,-0.01410537,195.28997588157654,493.422648191452,633.2352777719498
1480,4708398.115045684,2253823.944925597,2022-07-05,132.0,-0.01722899,195.28997588157654,493.422648191452,633.2352777719498
1481,4708438.138423117,2253823.791705949,2022-07-05,132.0,-0.009182401,195.28997588157654,493.422648191452,633.2352777719498
1482,4708478.161791775,2253823.6384863807,2022-07-05,132.0,-0.01707423,195.28997588157654,493.422648191452,633.2352777719498
1483,4708518.185151653,2253823.4852668904,2022-07-05,132.0,-0.017509416,195.28997588157654,493.422648191452,633.2352777719498
1484,4708558.208502756,2253823.3320474788,2022-07-05,132.0,-0.011390328,195.28997588157654,493.422648191452,633.2352777719498
1485,4708357.938444097,2253784.0747546847,2022-07-05,132.0,-0.014219383,195.28997588157654,493.422648191452,633.2352777719498
1486,4708397.961830385,2253783.921543736,2022-07-05,132.0,-0.012616385,195.28997588157654,493.422648191452,633.2352777719498
1487,4708437.9852079,2253783.768332866,2022-07-05,132.0,-0.015724098,195.28997588157654,493.422648191452,633.2352777719498
1488,4708478.008576634,2253783.6151220747,2022-07-05,132.0,-0.014131405,195.28997588157654,493.422648191452,633.2352777719498
1489,4708518.031936592,2253783.4619113617,2022-07-05,132.0,-0.014565535,195.28997588157654,493.422648191452,633.2352777719498
1490,4708558.055287773,2253783.308700728,2022-07-05,132.0,-0.012794548,195.28997588157654,493.422648191452,633.2352777719498
1491,4708598.078630175,2253783.155490172,2022-07-05,132.0,-0.009400848,195.28997588157654,493.422648191452,633.2352777719498
1492,4708397.808623865,2253743.898161797,2022-07-05,132.0,-0.013404229,195.28997588157654,493.422648191452,633.2352777719498
1493,4708437.832001456,2253743.744959704,2022-07-05,132.0,-0.013735226,195.28997588157654,493.422648191452,633.2352777719498
1494,4708477.855370269,2253743.59175769,2022-07-05,132.0,-0.012386749,195.28997588157654,493.422648191452,633.2352777719498
1495,4708517.878730306,2253743.4385557547,2022-07-05,132.0,-0.013562614,195.28997588157654,493.422648191452,633.2352777719498
